# generated by .xlsx-source/extract.py from armordata + armorparam base/max + gmtreks.com resistances (87/87 matched) on 2026-04-19
# schema: name|non_elem_res|fire_res|water_res|thunder_res|ice_res|dragon_res|skill|base_defense|max_defense|max_slots|max_level|rarity|recipe|description
Aelucanth Armor|neutral|extra_weak|neutral|high_resist|weak|resist|PS_045_00 (Critical Kinship (S))|78|128|1|3|1|0|Armor symbolizing dominion over all insect-kind. Every bug must bow before nature's champion.
Rhopessa Armor|neutral|extra_weak|neutral|high_resist|weak|resist|PS_045_00 (Critical Kinship (S))|78|128|1|3|1|0|Armor made from insect parts. Its refined majesty is guaranteed to make an impression.
Edel Armor|neutral|neutral|high_resist|extra_weak|neutral|neutral|PS_050_00 (Item Saver (S))|42|82|3|3|1|0|Any situation will come up roses while sporting this meticulously woven armor. The elegant appearance belies a durable defense.
Ceanataur Armor|neutral|weak|resist|extra_weak|neutral|high_resist|PS_039_00 (Partner (S))|68|118|2|3|1|0|Armor made from a Shogun Ceanataur's hardened carapace. The bladed protrusions can injure a careless wearer.
Regios Armor|neutral|high_resist|neutral|extra_weak|weak|resist|PS_001_00 (Critical (S))|114|164|3|3|1|0|Golden armor made from a Seregios. Clad in a thousand blades, it cuts any who touch it carelessly.
Astalos Armor|neutral|neutral|weak|high_resist|extra_weak|resist|PS_056_00 (Elemental Assault (S))|106|150|2|3|1|0|Astalos armor bristling with sharp spikes and pulsating light. Give up your purity to earn its dark blessing.
Malzeno Armor|neutral|weak|high_resist|resist|neutral|extra_weak|PS_051_00 (Weak Point (S))|136|170|1|3|1|0|Armor made from a bloodthirsty Malzeno. Strikes fear into the hearts of all living creatures.
Lunagaron Armor|neutral|extra_weak|resist|neutral|high_resist|weak|PS_038_00 (Vigilance (S))|112|162|2|3|1|0|Armor that embodies Lunagaron's ferocity. Bestows the monster's resilience and agility upon the wearer.
Golm Armor|resist|weak|high_resist|weak|neutral|neutral|PS_032_00 (All-Out (S))|82|134|3|3|1|0|Garangolm armor held in high esteem by woodland warriors. Only the pure of heart are worthy of wearing it.
Espinas Armor|neutral|high_resist|neutral|resist|extra_weak|weak|PS_003_00 (Inflict Rate Up (S))|98|150|2|3|1|0|Espinas armor wreathed in a deadly miasma. Constant exposure to these fumes sharpens the wearer's senses.
Azure Armor|neutral|high_resist|weak|neutral|extra_weak|resist|PS_026_00 (Panacea (S))|68|116|1|3|1|0|Armor developed in a distant land using novel forging techniques. Its capabilities are a mystery.
Guardian Armor|resist|neutral|neutral|neutral|neutral|neutral|PS_004_00 (Divine Blessing (S))|68|116|3|3|1|0|Armor bestowed upon knights who are sworn to defend their city. Masterfully crafted, it provides excellent defense and mobility.
Yukumo Armor|neutral|neutral|neutral|resist|neutral|neutral|PS_001_00 (Critical (S))|52|98|1|3|1|0|Armor worn by the people of lands far to the east. Due to its focus on maneuverability, this armor sees use in a variety of situations.
Ranger Armor|neutral|resist|neutral|neutral|neutral|neutral|PS_005_00 (Den Protector (S))|18|52|2|3|1|0|Armor specially made for Rangers to be functional in any environment. The emblem proves one's allegiance to Azuria.
Blango Armor|neutral|extra_weak|neutral|neutral|high_resist|neutral|PS_016_00 (Ice Def Boost (S))|106|138|3|3|1|0|Divinely majestic armor made from Blangonga parts. This masterpiece of Eastern craftsmanship boasts surprising defense.
Plesioth Armor|neutral|weak|high_resist|extra_weak|resist|neutral|PS_014_00 (Water Def Boost (S))|52|102|1|3|1|0|Plesioth scales have been sewn into this tight-fitting armor. It's sturdier than it appears.
Plesioth U Armor|neutral|weak|high_resist|extra_weak|resist|neutral|PS_008_00 (Water Atk Boost (S))|64|132|1|3|1|0|Armor made from Green Plesioth scales. Looks so intimidatingly impenetrable, even Monsties feel uneasy around it.
Kut-Ku Armor|neutral|high_resist|neutral|neutral|extra_weak|neutral|PS_019_00 (Antiburn (S))|26|62|2|3|1|0|Vividly colored armor made from a Yian Kut-Ku. The sharply- spiked carapace allows for an exceptionally sturdy finish.
Kut-Ku U Armor|neutral|high_resist|extra_weak|neutral|neutral|neutral|PS_007_00 (Fire Atk Boost (S))|36|68|2|3|1|0|Armor made from a Blue Yian Kut-Ku. The unique coloring of the armor is proof of its victories in a life of battle.
Gypceros Armor|neutral|extra_weak|neutral|high_resist|neutral|neutral|PS_028_00 (Antivenom (S))|26|62|2|3|1|0|Armor made using the rubbery skin of a Gypceros. The flexible materials used in its construction allow for a strong defense.
Gypceros U Armor|neutral|extra_weak|neutral|high_resist|neutral|neutral|PS_046_00 (Fortify (S))|36|68|1|3|1|0|Armor made from the hide of a Purple Gypceros. The thick rubbery skin repels all attacks.
Nerscylla Armor|neutral|neutral|extra_weak|extra_weak|neutral|high_resist|PS_049_00 (Anti 1-Hit KO (S))|38|64|1|3|1|0|Armor made from a Nerscylla. Its precise design and skilled construction allow for strong defensive properties.
Nerscylla U Armor|neutral|weak|resist|neutral|extra_weak|high_resist|PS_026_00 (Panacea (S))|98|138|2|3|1|0|Armor made from a Shrouded Nerscylla. Beckons prey into its beautiful twilight darkness.
Lagiacrus Armor|neutral|extra_weak|resist|high_resist|neutral|weak|PS_027_00 (Soul Kinship (S))|48|110|1|3|1|0|Armor made from the Lord of the Seas, Lagiacrus. The blue which evokes the sea's depths will softly build the will to fight.
Lagiacrus U Armor|neutral|extra_weak|resist|high_resist|neutral|weak|PS_052_00 (Partbreaker (S))|58|150|2|3|1|0|Armor made from the brilliant Ivory Lagiacrus. Its startling white coloring takes hold of the soul.
Gravios Armor|resist|high_resist|extra_weak|neutral|neutral|weak|PS_058_00 (Instigator (S))|104|144|2|3|1|0|Armor made from the carapace of a Gravios, capable of withstanding lava. Feels heavy enough to split the very earth.
Gravios U Armor|high_resist|resist|extra_weak|neutral|neutral|weak|PS_055_00 (Dragon Buster (S))|120|170|2|3|1|0|Armor made from the tougher and darker Black Gravios. So intimidating, the very air will feel heavy.
Barroth U Armor|resist|extra_weak|neutral|weak|high_resist|neutral|PS_049_00 (Anti 1-Hit KO (S))|112|154|3|3|1|0|Armor made from a Jade Barroth. Its vast, iceberg-like carapace allows for unparalleled toughness.
Arkvulcan Armor|weak|high_resist|resist|resist|resist|extra_weak|PS_034_00 (Synchronize (S))|136|170|1|3|1|0|Armor made from Arkveld spoils. The design was worn by a knight left kingdomless who reshaped the world.
Ajarakan Armor|neutral|high_resist|extra_weak|resist|weak|neutral|PS_041_00 (Bombardier (S))|78|128|2|3|1|0|Ajarakan armor. The heat of its flames warns prey of their final immolation.
Chatacabra Armor|neutral|neutral|neutral|extra_weak|neutral|high_resist|PS_000_00 (Health Boost (S))|26|62|1|3|1|0|Armor made from Chatacabra parts. The design is specially tailored for desert hunting.
Rey Dau Armor|neutral|resist|weak|high_resist|extra_weak|neutral|PS_056_00 (Elemental Assault (S))|106|150|1|3|1|0|Rey Dau armor. Its crest reaches the heavens—proof that this creature bows to no one.
